unidade_id,grupamento,vagas,referencia
0101601,maternal_1,38,2025-07-11
0101601,maternal_2,46,2025-07-11
0101602,maternal_1,32,2025-07-11
0101602,maternal_2,32,2025-07-11
0101603,bercario,50,2025-07-11
0101603,maternal_1,22,2025-07-11
0101603,maternal_2,25,2025-07-11
0101604,maternal_1,50,2025-07-11
0101604,maternal_2,50,2025-07-11
0101605,bercario,44,2025-07-11
0101605,maternal_1,50,2025-07-11
0101605,maternal_2,50,2025-07-11
0101606,bercario,46,2025-07-11
0101606,maternal_1,51,2025-07-11
0101606,maternal_2,51,2025-07-11
0101607,bercario,50,2025-07-11
0101607,maternal_1,50,2025-07-11
0101607,maternal_2,50,2025-07-11
0101801,bercario,75,2025-07-11
0101801,maternal_1,50,2025-07-11
0101801,maternal_2,105,2025-07-11
0101802,bercario,50,2025-07-11
0101802,maternal_1,25,2025-07-11
0101802,maternal_2,75,2025-07-11
0101803,maternal_2,50,2025-07-11
0102601,bercario,50,2025-07-11
0102601,maternal_1,50,2025-07-11
0102602,bercario,50,2025-07-11
0102602,maternal_1,100,2025-07-11
0102602,maternal_2,100,2025-07-11
0102604,bercario,25,2025-07-11
0102604,maternal_1,48,2025-07-11
0102604,maternal_2,46,2025-07-11
0102605,bercario,50,2025-07-11
0102605,maternal_1,25,2025-07-11
0102605,maternal_2,75,2025-07-11
0102606,bercario,50,2025-07-11
0102606,maternal_1,50,2025-07-11
0102802,maternal_2,50,2025-07-11
0102803,maternal_2,75,2025-07-11
0103601,maternal_1,24,2025-07-11
0103601,maternal_2,40,2025-07-11
0103602,bercario,25,2025-07-11
0103602,maternal_1,25,2025-07-11
0103602,maternal_2,22,2025-07-11
0103604,bercario,25,2025-07-11
0103604,maternal_1,25,2025-07-11
0103604,maternal_2,25,2025-07-11
0103605,bercario,50,2025-07-11
0103605,maternal_1,25,2025-07-11
0103605,maternal_2,50,2025-07-11
0103606,bercario,50,2025-07-11
0103606,maternal_1,25,2025-07-11
0103606,maternal_2,50,2025-07-11
0103607,bercario,50,2025-07-11
0103607,maternal_1,50,2025-07-11
0103607,maternal_2,75,2025-07-11
0103801,bercario,25,2025-07-11
0103801,maternal_1,25,2025-07-11
0103801,maternal_2,25,2025-07-11
0103802,bercario,50,2025-07-11
0103802,maternal_1,50,2025-07-11
0103802,maternal_2,50,2025-07-11
0103804,bercario,25,2025-07-11
0103804,maternal_1,25,2025-07-11
0103804,maternal_2,25,2025-07-11
0103805,bercario,14,2025-07-11
0103805,maternal_1,25,2025-07-11
0103805,maternal_2,25,2025-07-11
0103806,maternal_2,26,2025-07-11
0103807,bercario,50,2025-07-11
0103807,maternal_1,75,2025-07-11
0103807,maternal_2,50,2025-07-11
0107601,maternal_1,50,2025-07-11
0107601,maternal_2,45,2025-07-11
0107602,bercario,50,2025-07-11
0107602,maternal_1,50,2025-07-11
0107602,maternal_2,50,2025-07-11
0107603,bercario,25,2025-07-11
0107603,maternal_1,25,2025-07-11
0107603,maternal_2,50,2025-07-11
0107604,bercario,50,2025-07-11
0107604,maternal_1,50,2025-07-11
0107604,maternal_2,50,2025-07-11
0107605,bercario,25,2025-07-11
0107605,maternal_1,21,2025-07-11
0107605,maternal_2,25,2025-07-11
0107606,maternal_1,75,2025-07-11
0107606,maternal_2,75,2025-07-11
0107607,bercario,50,2025-07-11
0107607,maternal_1,50,2025-07-11
