id,sexo,nascimento_anomes,data_nascimento
aluno_0000001,M,2020-03,
aluno_0000002,M,2018-08,
aluno_0000003,F,2019-10,
aluno_0000004,F,2023-09,
aluno_0000005,M,2023-09,
aluno_0000006,F,2023-09,
aluno_0000007,M,2023-09,
aluno_0000008,F,2023-09,
aluno_0000009,F,2023-09,
aluno_0000010,M,2023-09,
aluno_0000011,F,2023-09,
aluno_0000012,F,2023-09,
aluno_0000013,M,2023-08,
aluno_0000014,F,2023-09,
aluno_0000015,F,2023-09,
aluno_0000016,M,2023-09,
aluno_0000017,M,2023-08,
aluno_0000018,F,2023-09,
aluno_0000019,M,2023-09,
aluno_0000020,F,2023-09,
aluno_0000021,M,2023-09,
aluno_0000022,F,2023-09,
aluno_0000023,F,2023-09,
aluno_0000024,M,2023-09,
aluno_0000025,F,2023-09,
aluno_0000026,F,2023-08,
aluno_0000027,M,2023-09,
aluno_0000028,M,2023-09,
aluno_0000029,F,2023-09,
aluno_0000030,M,2023-09,
aluno_0000031,F,2023-09,
aluno_0000032,M,2023-09,
aluno_0000033,M,2023-09,
aluno_0000034,M,2023-09,
aluno_0000035,M,2023-09,
aluno_0000036,M,2023-09,
aluno_0000037,M,2023-09,
aluno_0000038,F,2023-09,
aluno_0000039,M,2023-09,
aluno_0000040,F,2023-09,
aluno_0000041,M,2023-09,
aluno_0000042,M,2023-09,
aluno_0000043,M,2023-09,
aluno_0000044,M,2023-09,
aluno_0000045,F,2023-09,
aluno_0000046,F,2023-09,
aluno_0000047,F,2023-09,
aluno_0000048,M,2023-09,
aluno_0000049,F,2023-09,
aluno_0000050,F,2023-09,
aluno_0000051,M,2023-09,
aluno_0000052,M,2023-09,
aluno_0000053,F,2023-09,
aluno_0000054,M,2020-10,
aluno_0000055,M,2023-09,
aluno_0000056,M,2023-09,
aluno_0000057,F,2023-09,
aluno_0000058,F,2023-09,
aluno_0000059,M,2023-09,
aluno_0000060,M,2023-09,
aluno_0000061,M,2023-09,
aluno_0000062,F,2023-09,
aluno_0000063,M,2023-09,
aluno_0000064,F,2023-09,
aluno_0000065,M,2023-09,
aluno_0000066,F,2023-09,
aluno_0000067,F,2023-09,
aluno_0000068,M,2023-09,
aluno_0000069,M,2023-09,
aluno_0000070,F,2019-10,
aluno_0000071,F,2023-09,
aluno_0000072,F,2023-09,
aluno_0000073,M,2023-09,
aluno_0000074,F,2023-09,
aluno_0000075,F,2023-09,
aluno_0000076,M,2023-09,
aluno_0000077,F,2023-09,
aluno_0000078,M,2023-09,
aluno_0000079,M,2023-09,
aluno_0000080,M,2023-09,
aluno_0000081,F,2023-09,
aluno_0000082,M,2023-09,
aluno_0000083,F,2023-09,
aluno_0000084,F,2023-09,
aluno_0000085,F,2023-09,
aluno_0000086,M,2023-09,
aluno_0000087,M,2023-09,
aluno_0000088,F,2023-09,
aluno_0000089,M,2023-09,
aluno_0000090,F,2023-09,
aluno_0000091,F,2023-09,
aluno_0000092,M,2022-07,
aluno_0000093,M,2023-09,
aluno_0000094,M,2023-09,
aluno_0000095,M,2023-09,
aluno_0000096,M,2023-09,
aluno_0000097,M,2023-09,
aluno_0000098,F,2023-09,
aluno_0000099,F,2023-09,
aluno_0000100,F,2023-09,
aluno_0000101,F,2023-09,
aluno_0000102,M,2023-09,
aluno_0000103,M,2023-09,
aluno_0000104,M,2023-09,
aluno_0000105,M,2023-09,
aluno_0000106,F,2023-09,
aluno_0000107,F,2023-09,
aluno_0000108,F,2023-09,
aluno_0000109,M,2023-09,
aluno_0000110,F,2023-09,
aluno_0000111,F,2023-09,
aluno_0000112,F,2023-09,
aluno_0000113,F,2023-09,
aluno_0000114,F,2023-09,
aluno_0000115,M,2023-09,
aluno_0000116,M,2023-09,
aluno_0000117,M,2023-09,
aluno_0000118,M,2020-03,
aluno_0000119,F,2023-09,
aluno_0000120,M,2023-04,
aluno_0000121,M,2023-09,
aluno_0000122,M,2023-09,
aluno_0000123,M,2023-09,
aluno_0000124,F,2023-09,
aluno_0000125,F,2023-09,
aluno_0000126,M,2023-09,
aluno_0000127,F,2023-09,
aluno_0000128,F,2023-09,
aluno_0000129,F,2023-09,
aluno_0000130,F,2023-09,
aluno_0000131,F,2023-09,
aluno_0000132,M,2023-09,
aluno_0000133,M,2023-09,
aluno_0000134,F,2023-09,
aluno_0000135,F,2022-07,
aluno_0000136,M,2023-09,
aluno_0000137,M,2023-09,
aluno_0000138,F,2023-09,
aluno_0000139,F,2023-09,
aluno_0000140,M,2023-09,
aluno_0000141,M,2023-09,
aluno_0000142,M,2023-09,
aluno_0000143,M,2023-09,
aluno_0000144,M,2023-09,
aluno_0000145,M,2023-09,
aluno_0000146,M,2023-09,
aluno_0000147,F,2023-09,
aluno_0000148,F,2023-09,
aluno_0000149,F,2023-09,
aluno_0000150,F,2023-09,
aluno_0000151,F,2023-09,
aluno_0000152,M,2023-09,
aluno_0000153,F,2023-09,
aluno_0000154,F,2023-09,
aluno_0000155,M,2023-09,
aluno_0000156,M,2023-04,
aluno_0000157,M,2023-09,
aluno_0000158,M,2023-02,
aluno_0000159,F,2023-08,
aluno_0000160,M,2021-11,
aluno_0000161,M,2023-09,
aluno_0000162,F,2023-09,
aluno_0000163,M,2023-09,
aluno_0000164,M,2023-09,
aluno_0000165,F,2023-09,
aluno_0000166,M,2023-09,
aluno_0000167,F,2023-09,
aluno_0000168,M,2023-09,
aluno_0000169,F,2023-09,
aluno_0000170,M,2023-05,
aluno_0000171,M,2023-09,
aluno_0000172,F,2023-09,
aluno_0000173,F,2023-09,
aluno_0000174,M,2023-09,
aluno_0000175,M,2023-08,
aluno_0000176,M,2023-09,
aluno_0000177,F,2023-09,
aluno_0000178,M,2023-09,
aluno_0000179,F,2023-09,
aluno_0000180,M,2023-09,
aluno_0000181,F,2023-09,
aluno_0000182,M,2023-09,
aluno_0000183,F,2023-09,
aluno_0000184,M,2023-09,
aluno_0000185,M,2023-09,
aluno_0000186,M,2023-09,
aluno_0000187,F,2023-09,
aluno_0000188,M,2023-09,
aluno_0000189,M,2023-09,
aluno_0000190,F,2023-09,
aluno_0000191,M,2022-02,
aluno_0000192,M,2023-09,
aluno_0000193,F,2023-09,
aluno_0000194,F,2023-09,
aluno_0000195,F,2023-09,
aluno_0000196,F,2023-09,
aluno_0000197,M,2023-09,
aluno_0000198,F,2023-09,
aluno_0000199,F,2023-09,
aluno_0000200,M,2023-09,
aluno_0000201,M,2023-09,
aluno_0000202,M,2023-09,
aluno_0000203,M,2023-09,
aluno_0000204,M,2023-09,
aluno_0000205,M,2023-09,
aluno_0000206,M,2023-09,
aluno_0000207,F,2023-09,
aluno_0000208,F,2023-09,
aluno_0000209,F,2023-09,
aluno_0000210,M,2023-09,
aluno_0000211,M,2023-09,
aluno_0000212,M,2023-09,
aluno_0000213,F,2023-09,
aluno_0000214,M,2023-09,
aluno_0000215,F,2023-09,
aluno_0000216,F,2023-09,
aluno_0000217,F,2023-09,
aluno_0000218,M,2023-09,
aluno_0000219,M,2020-06,
aluno_0000220,M,2023-09,
aluno_0000221,M,2023-09,
aluno_0000222,M,2023-09,
aluno_0000223,M,2023-09,
aluno_0000224,M,2023-09,
aluno_0000225,M,2023-09,
aluno_0000226,F,2023-09,
aluno_0000227,M,2020-09,
aluno_0000228,F,2023-09,
aluno_0000229,F,2023-09,
aluno_0000230,F,2023-09,
aluno_0000231,M,2021-02,
aluno_0000232,F,2023-09,
aluno_0000233,M,2023-09,
aluno_0000234,F,2023-09,
aluno_0000235,M,2023-09,
aluno_0000236,M,2023-09,
aluno_0000237,F,2023-09,
aluno_0000238,M,2023-09,
aluno_0000239,M,2023-09,
aluno_0000240,F,2023-09,
aluno_0000241,M,2023-09,
aluno_0000242,F,2023-09,
aluno_0000243,F,2023-09,
aluno_0000244,F,2023-09,
aluno_0000245,F,2023-09,
aluno_0000246,M,2023-06,
aluno_0000247,M,2023-09,
aluno_0000248,M,2023-09,
aluno_0000249,M,2020-12,
aluno_0000250,M,2023-09,
aluno_0000251,M,2023-09,
