inscricao_id,criterio_id,resposta,confirmado
2,1,false,true
2,2,false,true
2,3,false,true
2,4,false,true
2,5,false,true
2,6,true,true
2,7,false,true
2,8,false,true
2,9,false,true
2,10,false,true
2,11,false,true
2,12,false,true
2,13,false,true
4,3,true,true
4,4,true,true
5,1,false,true
5,2,false,true
5,3,false,true
5,4,true,true
5,5,true,true
5,6,false,true
5,7,false,true
5,8,false,true
5,9,false,true
5,10,false,true
5,11,false,true
5,12,true,true
5,13,false,true
7,6,true,true
8,6,true,true
9,6,true,true
11,3,true,false
11,8,true,false
12,6,true,true
12,9,false,true
14,3,true,true
14,8,true,true
16,6,true,true
21,1,false,true
21,2,true,true
21,3,false,true
21,4,false,true
21,5,true,true
21,6,true,true
21,7,false,true
21,8,false,true
21,9,false,true
21,10,false,true
21,11,false,true
21,12,true,true
21,13,false,true
22,6,true,true
24,6,true,true
26,6,true,true
27,6,true,true
30,1,false,true
30,2,false,true
30,3,false,true
30,4,false,true
30,5,false,true
30,6,false,true
30,7,false,true
30,8,false,true
30,9,false,true
30,10,false,true
30,11,false,true
30,12,false,true
30,13,false,true
32,1,false,true
32,2,false,true
32,3,false,true
32,4,false,true
32,5,false,true
32,6,false,true
32,7,false,true
32,8,false,true
32,9,false,true
32,10,false,true
32,11,false,true
32,12,false,true
32,13,false,true
35,1,false,true
35,2,false,true
35,3,false,true
35,4,false,true
35,5,false,true
35,6,false,true
35,7,false,true
35,8,false,true
35,9,false,true
35,10,false,true
35,11,false,true
35,12,false,true
35,13,false,true
36,1,false,true
36,2,false,true
36,3,false,true
36,4,false,true
36,5,false,true
36,6,false,true
36,7,false,true
36,8,false,true
36,9,false,true
36,10,false,true
36,11,false,true
36,12,false,true
36,13,false,true
38,6,true,false
38,7,true,false
39,1,false,true
39,2,false,true
39,3,false,true
39,4,false,true
39,5,false,true
39,6,false,true
39,7,false,true
39,8,false,true
39,9,false,true
39,10,false,true
39,11,false,true
39,12,false,true
39,13,true,true
40,1,false,true
40,2,true,true
40,3,false,true
40,4,false,true
40,5,false,true
40,6,true,true
40,7,false,true
40,8,true,true
40,9,false,true
40,10,false,true
40,11,false,true
40,12,false,true
40,13,false,true
41,1,false,true
41,2,false,true
41,3,false,true
41,4,false,true
41,5,false,true
41,6,true,true
41,7,false,true
41,8,false,true
41,9,false,true
41,10,false,true
41,11,false,true
41,12,false,true
41,13,false,true
43,13,true,false
46,1,false,true
46,2,false,true
46,3,false,true
46,4,false,true
46,5,false,true
46,6,false,true
46,7,false,true
46,8,false,true
46,9,false,true
46,10,false,true
46,11,false,true
46,12,false,true
46,13,false,true
47,1,false,true
49,1,false,true
49,2,false,true
49,3,false,true
49,4,false,true
49,5,false,true
49,6,true,true
49,7,false,true
49,8,false,true
49,9,false,true
49,10,false,true
49,11,false,true
49,12,false,true
49,13,false,true
50,3,true,true
50,4,true,true
50,5,true,true
50,6,true,true
52,6,true,true
53,1,false,true
53,2,false,true
53,3,false,true
53,4,true,true
53,5,true,true
53,6,false,true
53,7,false,true
53,8,false,true
53,9,false,true
53,10,true,true
53,11,false,true
53,12,false,true
53,13,false,true
54,1,false,true
54,2,false,true
54,3,false,true
54,4,false,true
54,5,false,true
54,6,true,true
54,7,false,true
54,8,false,true
54,9,false,true
54,10,false,true
54,11,false,true
54,12,false,true
54,13,false,true
55,4,true,false
55,5,true,false
55,9,true,false
56,1,true,false
58,3,true,false
58,5,true,false
61,1,false,true
61,2,false,true
61,3,false,true
61,4,false,true
61,5,false,true
61,6,true,true
61,7,false,true
61,8,false,true
61,9,false,true
61,10,false,true
61,11,false,true
61,12,false,true
61,13,false,true
62,1,false,true
62,2,false,true
62,3,false,true
62,4,false,true
62,5,false,true
62,6,false,true
62,7,false,true
62,8,false,true
62,9,false,true
62,10,false,true
62,11,false,true
62,12,false,true
62,13,false,true
63,1,false,true
63,2,false,true
63,3,false,true
63,4,false,true
63,5,false,true
63,6,false,true
63,7,false,true
63,8,false,true
63,9,false,true
63,10,false,true
63,11,false,true
63,12,false,true
63,13,false,true
69,1,false,true
69,2,false,true
69,3,false,true
69,4,false,true
69,5,false,true
69,6,false,true
69,7,false,true
69,8,false,true
69,9,false,true
69,10,false,true
69,11,false,true
69,12,false,true
69,13,false,true
70,1,false,true
70,2,false,true
70,3,false,true
70,4,false,true
70,5,false,true
70,6,false,true
70,7,false,true
70,8,false,true
70,9,true,true
70,10,false,true
70,11,false,true
70,12,false,true
70,13,false,true
71,5,true,true
71,6,true,true
71,8,true,true
71,9,false,true
72,1,false,true
72,2,false,true
72,3,false,true
72,4,false,true
72,5,false,true
72,6,true,true
72,7,false,true
72,8,false,true
72,9,false,true
72,10,false,true
72,11,false,true
72,12,false,true
72,13,false,true
73,1,false,true
73,2,false,true
73,3,false,true
73,4,false,true
73,5,false,true
73,6,false,true
73,7,false,true
73,8,false,true
73,9,false,true
73,10,false,true
73,11,false,true
73,12,false,true
73,13,false,true
74,1,false,true
74,2,false,true
74,3,false,true
74,4,true,true
74,5,true,true
74,6,true,true
74,7,false,true
74,8,false,true
74,9,false,true
74,10,true,true
74,11,false,true
74,12,false,true
74,13,false,true
77,1,false,true
77,2,false,true
77,3,false,true
77,4,false,true
77,5,true,true
77,6,false,true
77,7,false,true
77,8,false,true
77,9,false,true
77,10,false,true
77,11,false,true
77,12,false,true
77,13,false,true
78,1,false,true
78,2,false,true
78,3,false,true
78,4,true,true
78,5,true,true
78,6,false,true
78,7,false,true
78,8,false,true
78,9,false,true
78,10,false,true
78,11,false,true
78,12,false,true
78,13,false,true
81,6,true,false
84,6,true,true
86,1,false,true
86,2,false,true
86,3,false,true
86,4,false,true
86,5,false,true
86,6,true,true
86,7,false,true
86,8,false,true
86,9,false,true
86,10,false,true
86,11,false,true
86,12,false,true
86,13,false,true
88,1,false,true
88,2,false,true
88,3,false,true
88,4,true,true
88,5,false,true
88,6,false,true
88,7,false,true
88,8,false,true
88,9,false,true
88,10,false,true
88,11,false,true
88,12,false,true
88,13,false,true
90,1,false,true
90,2,false,true
90,3,false,true
90,4,false,true
90,5,true,true
90,6,true,true
90,7,false,true
90,8,false,true
90,9,false,true
90,10,false,true
90,11,false,true
90,12,false,true
90,13,false,true
91,1,false,true
91,2,false,true
91,3,false,true
91,4,false,true
91,5,false,true
91,6,false,true
91,7,false,true
91,8,false,true
91,9,false,true
91,10,false,true
91,11,false,true
91,12,false,true
91,13,false,true
92,1,false,true
92,2,false,true
92,3,false,true
92,4,false,true
92,5,false,true
92,6,true,true
92,7,false,true
92,8,false,true
92,9,false,true
92,10,false,true
92,11,false,true
92,12,false,true
92,13,false,true
93,1,false,true
93,2,false,true
93,3,false,true
93,4,false,true
93,5,false,true
93,6,true,true
93,7,false,true
93,8,false,true
93,9,false,true
93,10,false,true
93,11,false,true
93,12,false,true
93,13,false,true
94,1,false,true
94,2,false,true
94,3,false,true
94,4,false,true
94,5,false,true
94,6,false,true
94,7,false,true
94,8,true,true
94,9,false,true
94,10,false,true
94,11,false,true
94,12,false,true
94,13,false,true
96,6,true,true
97,6,true,true
98,6,true,true
99,1,false,true
99,2,false,true
99,3,false,true
99,4,false,true
99,5,false,true
99,6,true,true
99,7,false,true
99,8,false,true
99,9,false,true
99,10,false,true
99,11,false,true
99,12,false,true
99,13,false,true
100,1,false,true
100,2,false,true
100,3,false,true
100,4,false,true
100,5,false,true
100,6,true,true
100,7,false,true
100,8,false,true
100,9,false,true
100,10,false,true
100,11,false,true
100,12,false,true
100,13,false,true
101,4,true,true
101,5,true,true
101,6,true,true
101,9,true,true
101,10,true,true
101,12,true,true
103,6,true,false
103,10,true,false
103,12,true,false
106,6,true,true
108,6,true,true
109,1,false,true
109,2,false,true
109,3,false,true
109,4,false,true
109,5,false,true
109,6,true,true
109,7,false,true
109,8,false,true
109,9,false,true
109,10,false,true
109,11,false,true
109,12,false,true
109,13,false,true
112,1,false,true
112,2,false,true
112,3,false,true
112,4,false,true
112,5,false,true
112,6,true,true
112,7,false,true
112,8,false,true
112,9,false,true
112,10,false,true
112,11,false,true
112,12,false,true
112,13,false,true
115,1,false,true
115,2,false,true
115,3,false,true
115,4,false,true
115,5,false,true
115,6,true,true
115,7,false,true
115,8,false,true
115,9,false,true
115,10,false,true
115,11,false,true
115,12,false,true
115,13,false,true
117,1,false,true
117,2,false,true
117,3,false,true
117,4,false,true
117,5,false,true
117,6,false,true
117,7,false,true
117,8,false,true
117,9,false,true
117,10,false,true
117,11,false,true
117,12,false,true
117,13,true,true
118,2,true,false
118,6,true,false
119,1,false,true
119,2,false,true
119,3,false,true
119,4,false,true
119,5,false,true
119,6,true,true
119,7,false,true
119,8,false,true
119,9,false,true
119,10,false,true
119,11,false,true
119,12,false,true
119,13,false,true
120,4,true,true
120,5,true,true
120,9,false,true
121,1,false,true
121,2,false,true
121,3,false,true
121,4,false,true
121,5,false,true
121,6,false,true
121,7,false,true
121,8,false,true
121,9,false,true
121,10,false,true
121,11,false,true
121,12,false,true
121,13,false,true
123,1,false,true
123,2,false,true
123,3,false,true
123,4,false,true
123,5,false,true
123,6,true,true
123,7,false,true
123,8,false,true
123,9,false,true
123,10,false,true
123,11,false,true
123,12,false,true
123,13,false,true
125,1,false,true
125,2,false,true
125,3,false,true
125,4,false,true
125,5,true,true
125,6,false,true
125,7,false,true
125,8,true,true
125,9,false,true
125,10,false,true
125,11,false,true
125,12,false,true
125,13,false,true
128,1,false,true
128,2,false,true
128,3,true,true
128,4,true,true
128,5,true,true
128,6,true,true
128,7,false,true
128,8,false,true
128,9,false,true
128,10,false,true
128,11,false,true
128,12,false,true
128,13,false,true
129,4,true,false
129,6,true,false
130,1,false,true
130,2,false,true
130,3,false,true
130,4,true,true
130,5,false,true
130,6,true,true
130,7,false,true
130,8,false,true
130,9,false,true
130,10,false,true
130,11,false,true
130,12,false,true
130,13,false,true
136,6,true,false
137,1,false,true
137,2,true,true
137,3,false,true
137,4,false,true
137,5,false,true
137,6,false,true
137,7,false,true
137,8,false,true
137,9,false,true
137,10,false,true
137,11,false,true
137,12,false,true
137,13,false,true
139,1,false,true
139,2,false,true
139,3,false,true
139,4,false,true
139,5,false,true
139,6,true,true
139,7,false,true
139,8,false,true
139,9,false,true
139,10,false,true
139,11,false,true
139,12,false,true
139,13,false,true
140,1,false,true
140,2,false,true
140,3,false,true
140,4,false,true
140,5,false,true
140,6,false,true
140,7,false,true
140,8,false,true
140,9,false,true
140,10,false,true
140,11,false,true
140,12,false,true
140,13,true,true
141,6,true,true
141,7,true,true
141,9,true,true
141,10,false,true
141,11,false,true
141,12,false,true
141,13,false,true
145,1,false,true
145,2,false,true
145,3,false,true
145,4,true,true
145,5,true,true
145,6,false,true
145,7,false,true
145,8,false,true
145,9,false,true
145,10,false,true
145,11,false,true
145,12,false,true
145,13,false,true
147,1,false,true
147,2,false,true
147,3,false,true
147,4,true,true
147,5,true,true
147,6,true,true
147,7,false,true
147,8,false,true
147,9,false,true
147,10,true,true
147,11,false,true
147,12,false,true
147,13,false,true
150,6,true,true
152,1,false,true
152,2,false,true
152,3,false,true
152,4,false,true
152,5,false,true
152,6,false,true
152,7,false,true
152,8,false,true
152,9,false,true
152,10,false,true
152,11,false,true
152,12,false,true
152,13,false,true
153,1,false,true
153,2,true,true
153,3,true,true
153,4,true,true
153,5,true,true
153,6,true,true
153,7,false,true
153,8,false,true
153,9,false,true
153,10,false,true
153,11,false,true
153,12,false,true
153,13,false,true
154,11,true,false
157,6,true,false
159,1,false,true
159,2,false,true
159,3,false,true
159,4,false,true
159,5,true,true
159,6,true,true
159,7,false,true
159,8,false,true
159,9,false,true
159,10,false,true
159,11,false,true
159,12,false,true
159,13,false,true
161,6,true,true
163,1,false,true
163,2,true,true
163,3,false,true
163,4,false,true
163,5,false,true
163,6,false,true
163,7,false,true
163,8,false,true
163,9,false,true
163,10,false,true
163,11,false,true
163,12,false,true
163,13,false,true
164,1,false,true
164,2,false,true
164,3,true,true
164,4,true,true
164,5,false,true
164,6,false,true
164,7,false,true
164,8,false,true
164,9,false,true
164,10,false,true
164,11,false,true
164,12,false,true
164,13,false,true
166,1,false,true
166,2,false,true
166,3,false,true
166,4,false,true
166,5,false,true
166,6,true,true
166,7,true,true
166,8,false,true
166,9,false,true
166,10,false,true
166,11,false,true
166,12,false,true
166,13,false,true
167,1,false,true
167,2,false,true
167,3,false,true
167,4,false,true
167,5,false,true
167,6,true,true
167,7,false,true
167,8,false,true
167,9,false,true
167,10,false,true
167,11,false,true
167,12,false,true
167,13,false,true
168,1,false,true
168,2,false,true
168,3,false,true
168,4,false,true
168,5,false,true
168,6,true,true
168,7,false,true
168,8,true,true
168,9,false,true
168,10,false,true
168,11,false,true
168,12,false,true
168,13,false,true
169,6,true,true
169,12,true,true
170,1,false,true
170,2,false,true
170,3,false,true
170,4,false,true
170,5,false,true
170,6,true,true
170,7,false,true
170,8,false,true
170,9,false,true
170,10,false,true
170,11,false,true
170,12,false,true
170,13,false,true
172,1,false,true
172,2,false,true
172,3,false,true
172,4,false,true
172,5,false,true
172,6,true,true
172,7,false,true
172,8,false,true
172,9,false,true
172,10,false,true
172,11,false,true
172,12,false,true
172,13,false,true
173,1,false,true
173,2,false,true
173,3,false,true
173,4,true,true
173,5,false,true
173,6,true,true
173,7,true,true
173,8,false,true
173,9,true,true
173,10,false,true
173,11,false,true
173,12,false,true
173,13,false,true
174,4,true,false
175,1,false,true
175,2,false,true
175,3,false,true
175,4,false,true
175,5,true,true
175,6,false,true
175,7,false,true
175,8,false,true
175,9,true,true
175,10,false,true
175,11,false,true
175,12,false,true
175,13,false,true
176,1,false,true
176,2,false,true
176,3,false,true
176,4,false,true
176,5,false,true
176,6,true,true
176,7,false,true
176,8,false,true
176,9,false,true
176,10,false,true
176,11,false,true
176,12,false,true
176,13,false,true
179,1,false,true
179,2,false,true
179,3,false,true
179,4,false,true
179,5,false,true
179,6,true,true
179,7,false,true
179,8,false,true
179,9,false,true
179,10,false,true
179,11,false,true
179,12,false,true
179,13,false,true
180,6,true,true
180,8,true,true
185,6,true,true
186,1,false,true
186,2,true,true
186,3,false,true
186,4,false,true
186,5,false,true
186,6,true,true
186,7,true,true
186,8,false,true
186,9,false,true
186,10,false,true
186,11,false,true
186,12,false,true
186,13,false,true
190,1,false,true
190,2,false,true
190,3,false,true
190,4,false,true
190,5,false,true
190,6,true,true
190,7,false,true
190,8,false,true
190,9,false,true
190,10,false,true
190,11,false,true
190,12,false,true
190,13,false,true
192,1,false,true
192,2,false,true
192,3,false,true
192,4,false,true
192,5,false,true
192,6,true,true
192,7,false,true
192,8,false,true
192,9,false,true
192,10,false,true
192,11,false,true
192,12,false,true
192,13,false,true
193,1,false,true
193,2,false,true
193,3,false,true
193,4,false,true
193,5,false,true
193,6,true,true
193,7,false,true
193,8,false,true
193,9,false,true
193,10,false,true
193,11,false,true
193,12,false,true
193,13,false,true
194,1,true,true
194,2,false,true
194,3,false,true
194,4,false,true
194,5,false,true
194,6,false,true
194,7,false,true
194,8,false,true
194,9,false,true
194,10,false,true
194,11,false,true
194,12,false,true
194,13,false,true
199,1,false,true
199,2,false,true
199,3,false,true
199,4,true,true
199,5,false,true
199,6,true,true
199,7,false,true
199,8,false,true
199,9,false,true
199,10,false,true
199,11,false,true
199,12,true,true
199,13,false,true
201,6,true,true
203,1,false,true
203,2,false,true
203,3,false,true
203,4,false,true
203,5,false,true
203,6,true,true
203,7,false,true
203,8,false,true
203,9,false,true
203,10,false,true
203,11,false,true
203,12,true,true
203,13,false,true
204,2,true,false
205,1,false,true
205,2,true,true
205,3,false,true
205,4,true,true
205,5,true,true
205,6,false,true
205,7,false,true
205,8,false,true
205,9,false,true
205,10,false,true
205,11,false,true
205,12,false,true
205,13,false,true
206,1,false,true
206,2,false,true
206,3,false,true
206,4,false,true
206,5,false,true
206,6,true,true
206,7,false,true
206,8,false,true
206,9,false,true
206,10,false,true
206,11,false,true
206,12,false,true
206,13,false,true
209,1,false,true
209,2,true,true
209,3,false,true
209,4,true,true
209,5,false,true
209,6,true,true
209,7,false,true
209,8,false,true
209,9,false,true
209,10,false,true
209,11,false,true
209,12,false,true
209,13,false,true
212,4,true,true
212,5,true,true
214,1,false,true
214,2,false,true
214,3,false,true
214,4,false,true
214,5,false,true
214,6,true,true
214,7,false,true
214,8,false,true
214,9,false,true
214,10,false,true
214,11,false,true
214,12,false,true
214,13,false,true
215,8,true,true
216,6,true,false
218,1,false,true
218,2,false,true
218,3,false,true
218,4,false,true
218,5,false,true
218,6,true,true
218,7,false,true
218,8,false,true
218,9,false,true
218,10,false,true
218,11,false,true
218,12,false,true
218,13,false,true
220,1,false,true
220,2,false,true
220,3,false,true
220,4,false,true
220,5,false,true
220,6,true,true
220,7,false,true
220,8,false,true
220,9,false,true
220,10,false,true
220,11,false,true
220,12,false,true
220,13,false,true
222,1,false,true
222,2,false,true
222,3,false,true
222,4,false,true
222,5,false,true
222,6,true,true
222,7,false,true
222,8,false,true
222,9,false,true
222,10,false,true
222,11,false,true
222,12,false,true
222,13,false,true
226,1,false,true
226,2,false,true
226,3,false,true
226,4,false,true
226,5,false,true
226,6,false,true
226,7,false,true
226,8,false,true
226,9,true,true
226,10,false,true
226,11,false,true
226,12,false,true
226,13,false,true
227,1,false,true
227,2,false,true
227,3,true,true
227,4,false,true
227,5,false,true
227,6,false,true
227,7,false,true
227,8,true,true
227,9,false,true
227,10,false,true
227,11,false,true
227,12,false,true
227,13,false,true
229,1,false,true
229,2,true,true
229,3,false,true
229,4,false,true
229,5,false,true
229,6,true,true
229,7,false,true
229,8,false,true
229,9,false,true
229,10,false,true
229,11,false,true
229,12,false,true
229,13,false,true
234,4,true,true
237,4,true,false
237,5,true,false
238,1,false,true
238,2,false,true
238,3,false,true
238,4,false,true
238,5,false,true
238,6,true,true
238,7,false,true
238,8,true,true
238,9,false,true
238,10,false,true
238,11,false,true
238,12,false,true
238,13,false,true
239,1,false,true
239,2,false,true
239,3,false,true
239,4,false,true
239,5,false,true
239,6,true,true
239,7,false,true
239,8,false,true
239,9,false,true
239,10,false,true
239,11,false,true
239,12,false,true
239,13,false,true
240,3,true,true
240,4,true,true
240,5,true,true
242,1,false,true
242,2,false,true
242,3,false,true
242,4,false,true
242,5,false,true
242,6,false,true
242,7,false,true
242,8,false,true
242,9,true,true
242,10,false,true
242,11,false,true
242,12,false,true
242,13,false,true
245,1,false,true
245,2,false,true
245,3,false,true
245,4,false,true
245,5,true,true
245,6,true,true
245,7,false,true
245,8,false,true
245,9,false,true
245,10,false,true
245,11,false,true
245,12,false,true
245,13,false,true
248,1,false,true
248,2,false,true
248,3,false,true
248,4,false,true
248,5,false,true
248,6,true,true
248,7,false,true
248,8,false,true
248,9,false,true
248,10,false,true
248,12,false,true
248,13,false,true
249,1,false,true
249,2,false,true
249,3,false,true
249,4,false,true
249,5,false,true
249,6,true,true
249,7,false,true
249,8,false,true
249,9,false,true
249,10,false,true
249,11,false,true
249,12,false,true
249,13,false,true
251,1,false,true
251,2,false,true
251,3,false,true
251,4,false,true
251,5,false,true
251,6,true,true
251,7,false,true
251,8,true,true
251,9,false,true
251,10,false,true
251,11,false,true
251,12,false,true
251,13,false,true
253,1,false,true
253,2,false,true
253,3,false,true
253,4,false,true
253,5,false,true
253,6,true,true
253,7,false,true
253,8,false,true
253,9,false,true
253,10,false,true
253,11,false,true
253,12,false,true
253,13,false,true
254,1,false,true
254,2,false,true
254,3,false,true
254,4,false,true
254,5,false,true
254,6,true,true
254,7,false,true
254,8,true,true
254,9,false,true
254,10,false,true
254,11,false,true
254,12,false,true
254,13,false,true
258,1,false,true
258,2,false,true
258,3,false,true
258,4,false,true
258,5,false,true
258,6,true,true
258,7,false,true
258,8,false,true
258,9,false,true
258,10,false,true
258,11,false,true
258,12,false,true
258,13,false,true
259,1,false,true
259,2,false,true
259,3,false,true
259,4,false,true
259,5,false,true
259,6,true,true
259,7,false,true
259,8,false,true
259,9,false,true
259,10,false,true
259,11,false,true
259,12,false,true
259,13,false,true
260,1,false,true
260,2,false,true
260,3,false,true
260,4,false,true
260,5,true,true
260,6,true,true
260,7,false,true
260,8,false,true
260,9,false,true
260,10,false,true
260,11,false,true
260,12,false,true
260,13,false,true
264,6,true,true
265,1,false,true
265,2,false,true
265,3,false,true
265,4,false,true
265,5,false,true
265,6,true,true
265,7,false,true
265,8,false,true
265,9,false,true
265,10,false,true
265,11,false,true
265,12,false,true
265,13,false,true
266,1,false,true
266,2,false,true
266,3,false,true
266,4,false,true
266,5,false,true
266,6,true,true
266,7,false,true
266,8,false,true
266,9,false,true
266,10,false,true
266,11,false,true
266,12,false,true
266,13,false,true
267,6,true,false
269,1,false,true
269,2,false,true
269,3,false,true
269,4,false,true
269,5,false,true
269,6,true,true
269,7,false,true
269,8,false,true
269,9,false,true
269,10,true,true
269,11,false,true
269,12,true,true
269,13,false,true
272,6,true,false
273,1,false,true
273,2,false,true
273,3,false,true
273,4,false,true
273,5,true,true
273,6,true,true
273,7,false,true
273,8,false,true
273,9,false,true
273,10,false,true
273,11,false,true
273,12,false,true
273,13,false,true
597,1,false,true
597,2,false,true
597,3,false,true
597,4,false,true
597,5,false,true
597,6,true,true
597,7,false,true
597,8,false,true
597,9,false,true
597,10,false,true
597,11,false,true
597,12,false,true
597,13,false,true
599,1,false,true
599,2,false,true
599,3,false,true
599,4,false,true
599,5,false,true
599,6,false,true
599,7,false,true
599,8,false,true
599,9,false,true
599,10,false,true
599,11,false,true
599,12,false,true
599,13,false,true
600,1,false,true
600,2,false,true
600,3,false,true
600,4,false,true
600,5,false,true
600,6,false,true
600,7,false,true
600,8,false,true
600,9,false,true
600,10,false,true
600,11,false,true
600,12,false,true
600,13,false,true
601,1,false,true
601,2,false,true
601,3,false,true
601,4,true,true
601,5,true,true
601,6,false,true
601,7,false,true
601,8,false,true
601,9,false,true
601,10,false,true
601,11,false,true
601,12,false,true
601,13,false,true
602,1,false,true
602,2,false,true
602,3,false,true
602,4,false,true
602,5,false,true
602,6,true,true
602,7,false,true
602,8,false,true
602,9,false,true
602,10,false,true
602,11,false,true
602,12,false,true
602,13,false,true
603,4,true,true
603,5,true,true
604,1,false,true
604,2,true,true
604,3,false,true
604,4,true,true
604,5,false,true
604,6,true,true
604,7,false,true
604,8,false,true
604,9,true,true
604,10,false,true
604,11,false,true
604,12,false,true
604,13,false,true
605,5,true,true
605,6,true,true
605,12,true,false
608,1,false,true
608,2,false,true
608,3,false,true
608,4,false,true
608,5,false,true
608,6,false,true
608,7,false,true
608,8,false,true
608,9,false,true
608,10,false,true
608,11,false,true
608,12,false,true
608,13,false,true
609,1,false,true
609,2,false,true
609,3,false,true
609,4,true,true
609,5,true,true
609,6,true,true
609,7,false,true
609,8,false,true
609,9,false,true
609,10,false,true
609,11,false,true
609,12,false,true
609,13,false,true
611,6,true,false
612,2,true,true
612,4,true,true
612,6,true,true
614,6,true,true
615,1,false,true
615,2,false,true
615,3,false,true
615,4,false,true
615,5,false,true
615,6,false,true
615,7,false,true
615,8,false,true
615,9,false,true
615,10,false,true
615,11,false,true
615,12,true,true
615,13,false,true
617,1,false,true
617,2,false,true
617,3,false,true
617,4,false,true
617,5,false,true
617,6,true,true
617,7,false,true
617,8,false,true
617,9,false,true
617,10,false,true
617,11,false,true
617,12,false,true
617,13,false,true
618,6,true,false
619,6,true,true
619,7,true,true
619,9,true,true
624,1,false,true
624,2,false,true
624,3,false,true
624,4,true,true
624,5,true,true
624,6,true,true
624,7,false,true
624,8,true,true
624,9,false,true
624,10,false,true
624,11,false,true
624,12,false,true
624,13,false,true
625,1,false,true
625,2,false,true
625,3,false,true
625,4,false,true
625,5,false,true
625,6,true,true
625,7,false,true
625,8,false,true
625,9,true,true
625,10,false,true
625,11,false,true
625,12,false,true
625,13,false,true
627,1,false,true
627,2,false,true
627,3,false,true
627,4,false,true
627,5,false,true
627,6,false,true
627,7,false,true
627,8,false,true
627,9,false,true
627,10,false,true
627,11,false,true
627,12,false,true
627,13,false,true
628,1,true,true
628,2,false,true
628,3,false,true
628,4,false,true
628,5,false,true
628,6,true,true
628,7,false,true
628,8,false,true
628,9,false,true
628,10,false,true
628,11,false,true
628,12,false,true
628,13,false,true
630,4,true,true
630,6,true,true
631,2,true,false
633,1,false,true
633,2,false,true
633,3,false,true
633,4,false,true
633,5,true,true
633,6,false,true
633,7,false,true
633,8,false,true
633,9,false,true
633,10,false,true
633,11,false,true
633,12,false,true
633,13,false,true
635,1,false,true
635,2,false,true
635,3,false,true
635,4,false,true
635,5,false,true
635,6,true,true
635,7,false,true
635,8,false,true
635,9,false,true
635,10,false,true
635,11,false,true
635,12,false,true
635,13,false,true
638,1,false,true
638,2,false,true
638,3,false,true
638,4,false,true
638,5,false,true
638,6,true,true
638,7,false,true
638,8,false,true
638,9,true,true
638,10,false,true
638,11,false,true
638,12,false,true
638,13,false,true
639,1,false,true
639,2,false,true
639,3,false,true
639,4,false,true
639,5,false,true
639,6,true,true
639,7,false,true
639,8,false,true
639,9,false,true
639,10,false,true
639,11,false,true
639,12,false,true
639,13,false,true
641,1,false,true
641,2,false,true
641,3,false,true
641,4,false,true
641,5,false,true
641,6,false,true
641,7,false,true
641,8,false,true
641,9,false,true
641,10,false,true
641,11,false,true
641,12,false,true
641,13,false,true
643,1,false,true
643,2,false,true
643,3,false,true
643,4,false,true
643,5,false,true
643,6,true,true
643,7,false,true
643,8,false,true
643,9,false,true
643,10,false,true
643,11,false,true
643,12,false,true
643,13,false,true
644,6,true,true
645,6,true,true
647,1,false,true
647,2,false,true
647,3,false,true
647,4,false,true
647,5,false,true
647,6,true,true
647,7,false,true
647,8,false,true
647,9,false,true
647,10,false,true
647,11,false,true
647,12,false,true
647,13,false,true
648,6,true,true
649,1,false,true
649,2,true,true
649,3,true,true
649,4,true,true
649,5,false,true
649,6,false,true
649,7,false,true
649,8,false,true
649,9,false,true
649,10,false,true
649,11,false,true
649,12,false,true
649,13,false,true
651,6,true,true
657,2,true,true
659,5,true,true
659,6,true,true
659,9,false,true
660,1,false,true
660,2,false,true
660,3,false,true
660,4,false,true
660,5,false,true
660,6,false,true
660,7,false,true
660,8,false,true
660,9,false,true
660,10,false,true
660,11,false,true
660,12,false,true
660,13,false,true
661,6,true,true
661,12,true,true
663,6,true,false
663,9,true,false
665,1,false,true
665,2,false,true
665,3,true,true
665,4,true,true
665,5,false,true
665,6,true,true
665,7,true,true
665,8,false,true
665,9,false,true
665,10,false,true
665,11,false,true
665,12,false,true
665,13,false,true
667,6,true,true
668,6,true,true
671,5,true,true
671,6,true,true
671,8,true,true
674,6,true,true
674,7,true,true
675,1,false,true
675,2,false,true
675,3,false,true
675,4,false,true
675,5,false,true
675,6,true,true
675,7,false,true
675,8,false,true
675,9,false,true
675,10,false,true
675,11,false,true
675,12,false,true
675,13,false,true
676,1,false,true
676,2,false,true
676,3,false,true
676,4,false,true
676,5,false,true
676,6,true,true
676,7,false,true
676,8,false,true
676,9,true,true
676,10,false,true
676,11,false,true
676,12,false,true
676,13,false,true
680,1,false,true
680,2,false,true
680,3,false,true
680,4,false,true
680,5,false,true
680,6,true,true
680,7,false,true
680,8,false,true
680,9,false,true
680,10,false,true
680,11,false,true
680,12,false,true
680,13,false,true
681,1,false,true
681,2,false,true
681,3,false,true
681,4,false,true
681,5,false,true
681,6,true,true
681,7,false,true
681,8,true,true
681,9,false,true
681,10,false,true
681,11,false,true
681,12,true,true
681,13,false,true
685,5,true,true
