id,nome,cre_id,gestao,bairro,cep,latitude,longitude
01004,CP CRECHE CANTINHO FELIZ DE SANTA TERESA,1,,SANTA TERESA,20241263,,
01005,CP CASA MATERNAL CORAÇÃO DE MÃE,1,,RIO COMPRIDO,20261004,,
01005,CP CASA MATERNAL CORAÇÃO DE MÃE,1,,,,,
01006,CP CRECHE DO TUIUTI,1,,SÃO CRISTÓVÃO,20910062,,
01007,CP EDUCANDÁRIO NOSSA SENHORA DE NAZARÉ,1,,CATUMBI,20251080,,
01009,CP CRECHE COMUNITÁRIA ANITA WAY,1,,SANTO CRISTO,20220590,,
01010,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,1,,SÃO CRISTÓVÃO,20910064,,
0101601,CM LADEIRA DOS FUNCIONÁRIOS,1,,CAJU,20931004,-22.879151,-43.224306
0101602,CM VIRGÍNIA LEMOS,1,,SÃO CRISTÓVÃO,20920460,-22.886423,-43.233212
0101603,CM SENNINHA,1,,CAJU,20931002,-22.882989,-43.228696
0101604,CM SEMPRE VIDA P. CONQUISTA,1,,CAJU,20931001,-22.877834,-43.226418
0101605,CM CLEMENTE FERREIRA,1,,CAJU,20931002,-22.876014,-43.222735
0101606,CM QUINTA DO CAJU,1,,CAJU,20931060,-22.875318,-43.211624
0101607,CM TIA DORA,1,,SANTO CRISTO,20220690,-22.898108,-43.197524
0101801,EDI PARQUE DA ALEGRIA,1,,SÃO CRISTÓVÃO,20931000,-22.884494,-43.23098
0101802,EDI MACHADO DE ASSIS,1,,SANTO CRISTO,20220590,-22.902003,-43.200648
0101803,EDI ANTÔNIO RAPOSO TAVARES,1,,GAMBOA,20220530,-22.895647,-43.19424
0102601,CM SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,1,,ESTÁCIO,20250150,-22.918978,-43.202959
0102602,CM ANA MARIA DA CRUZ SILVA,1,,CIDADE NOVA,20211260,-22.912295,-43.196778
0102604,CM ARCO-ÍRIS,1,,CENTRO,20230070,-22.910794,-43.181706
0102605,CM ALDEIA DOS CURUMINS,1,,CENTRO,20231050,-22.916844,-43.185946
0102606,CM GEORGE SAVALLA GOMES - PALHAÇO CAREQUINHA,1,,CENTRO,20230220,-22.906898,-43.193638
0102802,EDI CAMPOS SALLES,1,,CENTRO,20211350,-22.908079,-43.186536
0102803,EDI RACHEL DE QUEIROZ,1,,CIDADE NOVA,20210030,-22.907017,-43.194719
0103601,CM ESPAÇO LIVRE DA CRIANÇA,1,,ESTÁCIO,20250150,-22.916117,-43.203354
0103602,CM DIREITOS HUMANOS,1,,RIO COMPRIDO,20251062,-22.931337,-43.201233
0103604,CM SONHO INFANTIL,1,,RIO COMPRIDO,20261160,-22.927155,-43.214382
0103605,CM BRINCADEIRAS DE CRIANÇA,1,,CATUMBI,20211320,-22.918929,-43.19801
0103606,CM CAMPOS DA PAZ,1,,RIO COMPRIDO,20250500,-22.922461,-43.204005
0103607,CM ESTÁCIO DE SÁ,1,,ESTÁCIO,20211270,-22.913974,-43.203886
0103801,EDI PROFESSORA SIMONE SOUSA PIMENTEL,1,,RIO COMPRIDO,20261160,-22.927634,-43.213252
0103802,EDI LILY MARINHO,1,,SANTA TERESA,20251350,-22.919001,-43.193367
0103804,EDI ZÉLIA GATTAI AMADO,1,,RIO COMPRIDO,20251070,-22.926867,-43.200934
0103805,EDI BEATRIZ VICÊNCIA BANDEIRA RYFF,1,,ESTÁCIO,20250430,-22.919861,-43.205131
0103806,EDI FUNDAÇÃO LEÃO XIII,1,,ESTÁCIO,20250150,-22.919603,-43.203214
0103807,EDI MARIA LUIZA NOBRE - TIA LUIZINHA,1,,CATUMBI,20251030,-22.921988,-43.196215
0107601,CM ADALBERTO ISMAEL DE SOUZA,1,,SÃO CRISTÓVÃO,20941160,-22.906374,-43.232485
0107602,CM DEPUTADO LUIZ EDUARDO DE MAGALHÃES,1,,BENFICA,20910062,-22.898459,-43.235698
0107603,CM VOVÓ LUCÍOLA,1,,MANGUEIRA,20943001,-22.902712,-43.240861
0107604,CM HOMERO JOSÉ DOS SANTOS,1,,MANGUEIRA,20941025,-22.903303,-43.236528
0107605,CM EDUARDO MOREIRA DOS SANTOS,1,,MANGUEIRA,20911060,-22.902679,-43.235857
0107606,CM FRANCISCO ALVES,1,,SÃO CRISTÓVÃO,20921240,-22.889746,-43.23006
0107607,CM NAÇÃO MANGUEIRENSE,1,,MANGUEIRA,20943001,-22.905354,-43.239478
0107608,CM SAMORA MACHEL,1,,Benfica,20911300,-22.884162,-43.248667
0107609,CM VASQUINHO,1,,SÃO CRISTÓVÃO,20921180,-22.886432,-43.227433
0107610,CM ARARA AZUL,1,,BENFICA,20911400,-22.889247,-43.24211
0107801,EDI PROFESSORA DAYSE MALAGOLE,1,,SÃO CRISTÓVÃO,20921270,-22.890748,-43.230827
0107802,EDI MORRO DOS TELÉGRAFOS,1,,MANGUEIRA,20911060,-22.900287,-43.236696
0107803,EDI DOIS DE JULHO,1,,SÃO CRISTÓVÃO,20920350,-22.891507,-43.233074
0121001,EM JOAQUIM MANUEL DE MACEDO,1,,PAQUETÁ,20397070,-22.753151,-43.109534
0123601,CM JOSÉ MARINHO DE OLIVEIRA,1,,SANTA TERESA,20240261,-22.934912,-43.202502
0123603,CM FALLET,1,,SANTA TERESA,20241260,-22.927235,-43.195756
0123801,EDI HELOÍSA MARINHO,1,,SANTA TERESA,20241260,-22.929564,-43.194951
02001,CP CRECHE ESPAÇO SEMENTE,2,,TIJUCA,20530400,,
02002,CP EDUCANDÁRIO CASA DE JACIRA,2,,TIJUCA,20261120,,
02003,CP CENTRO COMUNITÁRIO DA RUA UM UNIÃO FAZ A FORÇA,2,,ROCINHA,22451262,,
02004,CP AÇÃO SOCIAL PADRE ANCHIETA - ASPA,2,,ROCINHA,22451590,,
02005,CP ESCOLA COMUNITÁRIA DO CANTAGALO,2,,COPACABANA,22071060,,
02006,CP CRECHE PRÉ-ESCOLA COMUNITÁRIA DOIS IRMÃOS,2,,GÁVEA,22451265,,
02009,CP ABRIGO TERESA DE JESUS,2,,MARACANÃ,20271021,,
02010,CP CRECHE PATINHO FELIZ,2,,VILA ISABEL,20560130,,
02011,CP SOCIEDADE CIVIL DE ASSISTÊNCIA A MENORES - CASA DA DINDA,2,,VILA ISABEL,20551255,,
02012,CP GRUPO COMUNITÁRIO CRECHE ESCOLA TIA MAURA,2,,SÃO CONRADO,22610210,,
02013,CP CENTRO DE EDUCAÇÃO INFANTIL CRISTO REDENTOR,2,,COSME VELHO,22241250,,
02014,CP CRUZADA PELA INFÂNCIA DO LEME,2,,Copacabana,22011080,,
02015,CP CRECHE SANT ANNA,2,,LARANJEIRAS,22240005,,
02016,CP CASA MATERNAL MELLO MATTOS,2,,JARDIM BOTÂNICO,22461020,,
02018,CP FUNDAÇÃO CASA SANTA IGNEZ,2,,GÁVEA,22451220,,
02019,CP UNIDAS - OBRAS SOCIAIS UNIDAS DE SANTA MARTA,2,,BOTAFOGO,22260136,,
02020,CP CASA ESPÍRITA CRISTÃ MARIA DE NAZARÉ,2,,ROCINHA,22451450,,
02022,CP CRECHE CHAPEUZINHO MARROM,2,,RIO COMPRIDO,20261110,,
02024,CP CRECHE ESCADINHA DO SABER,2,,ALTO DA BOA VISTA,20531390,,
02025,CP CRECHE BEZERRA DE MENEZES - BOTAFOGO,2,,BOTAFOGO,22271010,,
02026,CP CRECHE MONSENHOR FRANCA,2,,CATETE,22221030,,
02028,CP OBRAS SOCIAIS PADRE ALEIXO,2,,FLAMENGO,22230080,,
02029,CP CASA DA CRIANÇA,2,,BOTAFOGO,22290000,,
02031,CP CENTRO COMUNITÁRIO ALEGRIA DAS CRIANÇAS,2,,ROCINHA,22451340,,
02032,CP PATRONATO OPERÁRIO DA GÁVEA,2,,JARDIM BOTÂNICO,22470040,,
02034,CP CENTRO SOCIAL DA MULHER UÊGA,2,,ROCINHA,22451365,,
02035,CP CENTRO SOCIAL E AÍ COMO É QUE FICA ?,2,,ROCINHA,22451262,,
02036,CP CRECHE BERÇÁRIO MARIA HELENA DA ROCINHA,2,,ROCINHA,22451365,,
02037,CP CRECHE COMUNITÁRIA CANTINHO DA NATUREZA,2,,COPACABANA,22031100,,
02038,CP CRECHE CHÁCARA DO CÉU,2,,TIJUCA,20530400,,
02039,CP CRECHE ESCOLA MENINOS DE LUZ,2,,COPACABANA,22071060,,
02040,CP CRECHE MARIA MARIA,2,,ROCINHA,22451262,,
02041,CP CRECHE E PRÉ-ESCOLA COMUNITÁRIA DO 199 PINGO DE GENTE,2,,ROCINHA,22451262,,
02042,CP CRECHE SANTA CLARA,2,,LARANJEIRAS,22241020,,
02043,CP CRECHE SANTA MÔNICA,2,,TIJUCA,20530400,,
02044,CP CRECHE SÃO COSME E SÃO DAMIÃO,2,,ANDARAI,20541170,,
02045,CP CREI - CENTRO DE RECUPERAÇÃO INFANTIL,2,,IPANEMA,22420030,,
02046,CP ESPAÇO SANTA TEREZINHA - EST,2,,GÁVEA,22451010,,
0204601,CM TIA AMÁLIA,2,,COSME VELHO,22241275,-22.941447,-43.205546
0204602,CM ARACY GUIMARÃES ROSA,2,,CATETE,22221011,-22.928943,-43.179417
02047,CP GRUPO COMUNITÁRIO MORRO DA ALEGRIA,2,,ROCINHA,22451263,,
02048,CP LAR CANTINHO FELIZ,2,,VILA ISABEL,20551070,,
0204803,EDI GABRIELA MISTRAL,2,,URCA,22290270,-22.95425,-43.1645
0204804,EDI PROFESSORA SARITA KONDER,2,,LARANJEIRAS,22241020,-22.93676,-43.1972
0204805,EDI CLAUDIO CAVALCANTI,2,,BOTAFOGO,22271110,-22.954419,-43.188186
0204806,EDI IRMA MARGARITA ALARCON,2,,LARANJEIRAS,22221140,-22.931115,-43.190496
02049,CP OBRA DO BERÇO,2,,LAGOA,22471240,,
02052,CP CRECHE CASA SANTA MARTA,2,,,,,
02052,CP CRECHE CASA SANTA MARTA,2,,BOTAFOGO,22260140,,
02053,CP CRECHE ESPERANÇA,2,,LEBLON,22441040,,
02054,CP UNIÃO DE MULHERES PRO-MELHORAMENTO DA ROUPA SUJA,2,,ROCINHA,22451365,,
02055,CP CRECHE CASA DO POBRE DE NOSSA SENHORA DE COPACABANA,2,,COPACABANA,22040020,,
02056,CP CRECHE SANTA CLARA DE ASSIS NA PROVIDÊNCIA DE DEUS,2,,,,,
02056,CP CRECHE SANTA CLARA DE ASSIS NA PROVIDÊNCIA DE DEUS,2,,VIDIGAL,22450260,,
0205601,CM IRMÃS BAPTISTA,2,,COPACABANA,22031070,-22.966176,-43.18712
0205602,CM TIA SONIA CRISPINIANO,2,,COPACABANA,22031111,-22.96286,-43.1939
02057,CP CENTRO EDUCACIONAL ESPERANÇA,2,,ALTO DA BOA VISTA,20531680,,
02058,CP NASCEER - NÚCLEO DE ASSIST. SOCIAL CULTURAL EDUC. ECOLÓGICO DA ROCINHA,2,,Rocinha,22451272,,
0205801,EDI DONA MARCELA,2,,LEME,22010010,-22.960596,-43.167882
0205802,EDI PORTO RICO,2,,COPACABANA,22290130,-22.961382,-43.178694
